X,Y,Nondiagnostic,Category,Type,Number,Name
0,0.1,1,A,RF,1,
0,0.2,1,A,RF,2,
0,0.3,0,A,RF,3,
0,0.4,0,A,RF,4,
0,0.5,1,A,RF,5,
0,0.6,0,A,RF,6,
0,0.7,1,A,RF,7,
0,0.8,1,A,RF,8,
0,0.9,1,A,RF,9,
0,1,0,A,RF,10,
0.1,0.2,1,A,RF,11,
0.1,0.6,1,A,RF,15,
0.1,0.7,0,A,RF,16,
0.1,0.8,0,A,RF,17,
0.1,0.9,0,A,RF,18,
0.1,1,1,A,RF,19,
0.2,0.6,0,A,RF,23,
0.2,0.7,0,A,RF,24,
0.2,0.8,1,A,RF,25,
0.2,0.9,0,A,RF,26,
0.2,1,0,A,RF,27,
0.3,0.6,1,A,RF,30,
0.3,0.7,1,A,RF,31,
0.3,0.8,0,A,RF,32,
0.3,0.9,0,A,RF,33,
0.3,1,1,A,RF,34,
0.4,0.5,0,A,RF,36,
0.4,0.6,1,A,RF,37,
0.4,0.7,1,A,RF,38,
0.4,0.8,1,A,RF,39,
0.4,0.9,0,A,RF,40,
0.4,1,1,A,RF,41,
0.5,0.6,1,A,RF,42,
0.5,0.7,1,A,RF,43,
0.5,0.8,0,A,RF,44,
0.5,0.9,0,A,RF,45,
0.5,1,1,A,RF,46,
0.6,0.7,0,A,RF,47,
0.6,0.9,1,A,RF,48,
0.6,1,0,A,RF,49,
0.7,0.8,1,A,RF,50,
0.7,0.9,1,A,RF,51,
0.7,1,0,A,RF,52,
0.8,0.9,0,A,RF,53,
0.8,1,0,A,RF,54,
0.9,1,0,A,RF,55,
0.6,0.8,1,A,RF,76,
0.2,0.3,1,A,RF,20,
0.2,0.4,1,B,E,21,
0.2,0.5,0,A,RF,22,
0.3,0.4,0,A,RF,28,
0.3,0.5,1,A,RF,29,
0.1,0.3,0,A,RF,12,
0.1,0.4,1,A,RF,13,
0.1,0.5,0,A,RF,14,
1,0.9,1,B,RF,35,
1,0.8,1,B,RF,56,
1,0.7,0,B,RF,57,
1,0.6,0,B,RF,58,
1,0.5,1,B,RF,59,
1,0.4,0,B,RF,60,
1,0.3,1,B,RF,61,
1,0.2,1,B,RF,62,
1,0.1,1,B,RF,63,
1,0,0,B,RF,64,
0.9,0.8,1,B,RF,65,
0.9,0.4,1,B,RF,66,
0.9,0.3,0,B,RF,67,
0.9,0.2,0,B,RF,68,
0.9,0.1,0,B,RF,69,
0.9,0,1,B,RF,70,
0.8,0.4,0,B,RF,71,
0.8,0.3,0,B,RF,72,
0.8,0.2,1,B,RF,73,
0.8,0.1,0,B,RF,74,
0.8,0,0,B,RF,75,
0.7,0.4,1,B,RF,77,
0.7,0.3,1,B,RF,78,
0.7,0.2,0,B,RF,79,
0.7,0.1,0,B,RF,80,
0.7,0,1,B,RF,81,
0.6,0.5,0,B,RF,82,
0.6,0.4,1,B,RF,83,
0.6,0.3,1,B,RF,84,
0.6,0.2,1,B,RF,85,
0.6,0.1,0,B,RF,86,
0.6,0,1,B,RF,87,
0.5,0.4,1,B,RF,88,
0.5,0.3,1,B,RF,89,
0.5,0.2,0,B,RF,90,
0.5,0.1,0,B,RF,91,
0.5,0,1,B,RF,92,
0.4,0.3,0,B,RF,93,
0.4,0.1,1,B,RF,94,
0.4,0,0,B,RF,95,
0.3,0.2,1,B,RF,96,
0.3,0.1,1,B,RF,97,
0.3,0,0,B,RF,98,
0.2,0.1,0,B,RF,99,
0.2,0,0,B,RF,100,
0.1,0,0,B,RF,101,
0.4,0.2,1,B,RF,102,
0.8,0.7,1,B,RF,103,
0.8,0.6,1,A,E,104,
0.8,0.5,0,B,RF,105,
0.7,0.6,0,B,RF,106,
0.7,0.5,1,B,RF,107,
0.9,0.7,0,B,RF,108,
0.9,0.6,1,B,RF,109,
0.9,0.5,0,B,RF,110,
